split,split_type,holdout,model,calibrated,n,prevalence,brier,ece,auroc,auprc,worst_group_auprc
iid,iid,,gc_artifact_logreg,False,1200.0,0.5,0.24497278779234505,0.07350770664391114,0.5688041666666667,0.6292243680230513,0.6008234632991432
iid,iid,,gc_artifact_logreg,True,1200.0,0.5,0.24550485734150915,0.09800720822022184,0.5688041666666667,0.6292243680230513,0.6008234632991432
iid,iid,,kmer_logreg,False,1200.0,0.5,0.23553693194146988,0.17098108047723024,0.7488388888888888,0.7614032641722405,0.6545316778392226
iid,iid,,kmer_logreg,True,1200.0,0.5,0.20358887181888108,0.06048506381989082,0.7488388888888888,0.7614032641722405,0.6545316778392226
iid,iid,,kmer_metadata_logreg,False,1200.0,0.5,0.23085212634768004,0.1593468215835686,0.7574444444444445,0.7654048056522349,0.6569887353360311
iid,iid,,kmer_metadata_logreg,True,1200.0,0.5,0.20014812314154165,0.05107422421806639,0.7574444444444445,0.7654048056522349,0.6569887353360311
assay_heldout_cutrun,assay,CUT&RUN,gc_artifact_logreg,False,3000.0,0.5,0.24814543406041784,0.0959069149063913,0.5535531111111112,0.6194316195279393,0.5779225847392886
assay_heldout_cutrun,assay,CUT&RUN,gc_artifact_logreg,True,3000.0,0.5,0.25079439773178774,0.11393335810980776,0.5535531111111112,0.6194316195279393,0.5779225847392886
assay_heldout_cutrun,assay,CUT&RUN,kmer_logreg,False,3000.0,0.5,0.28873178385739084,0.25601811187164136,0.7060286666666666,0.7064628440084628,0.6876520002342685
assay_heldout_cutrun,assay,CUT&RUN,kmer_logreg,True,3000.0,0.5,0.2211138988209465,0.0558264614108926,0.7060286666666666,0.7064628440084628,0.6876520002342685
assay_heldout_cutrun,assay,CUT&RUN,kmer_metadata_logreg,False,3000.0,0.5,0.28248070651335133,0.24379921468077842,0.7133648888888889,0.715154427581991,0.6940951201593917
assay_heldout_cutrun,assay,CUT&RUN,kmer_metadata_logreg,True,3000.0,0.5,0.21895636905435992,0.054245323576446604,0.7133648888888889,0.715154427581991,0.6940951201593917
