split,model,calibrated,auprc_lo,auprc_hi,auroc_lo,auroc_hi,ece_lo,ece_hi,brier_lo,brier_hi
iid,gc_artifact_logreg,False,0.6506380309123251,0.7044708315496844,0.6943618318782168,0.7301891788016294,0.05288043128719742,0.08793569367684893,0.21086551208985713,0.22243659532931193
iid,gc_artifact_logreg,True,0.6373495294284477,0.6997438012277042,0.6712836970087491,0.7408563362818895,0.05376404441824011,0.09039026764571717,0.2088886900349439,0.2314793550422146
iid,kmer_logreg,False,0.6862436339932934,0.791392062843236,0.7372270047713118,0.802210599113129,0.10089512411024779,0.15806208201995275,0.1921058332361854,0.23312675294301743
iid,kmer_logreg,True,0.710178184985283,0.7937212998801166,0.7464149998349339,0.8044916073630389,0.035553615949122576,0.06497092796291576,0.18106385121054908,0.20595663299471273
iid,kmer_metadata_logreg,False,0.6989996553198828,0.7825427760931851,0.745673104702095,0.7921539420305742,0.10770129861766738,0.15124460357163014,0.19764368153764536,0.2276443012383877
iid,kmer_metadata_logreg,True,0.7017916853359312,0.787342847807925,0.7540442553705181,0.7995577814473889,0.03901883226527099,0.06665309846666051,0.18319608700071863,0.20303367269867212
lab_heldout_richard_myers__haib,gc_artifact_logreg,False,0.5584070639143667,0.6190939373066325,0.6316694118672079,0.6939421290948677,0.10033172420549517,0.13554690369361655,0.23003886341103386,0.24594478641531836
lab_heldout_richard_myers__haib,gc_artifact_logreg,True,0.5564352055166464,0.6230464148820685,0.6281327240260594,0.690296021272731,0.09925490936503766,0.13601879845557754,0.2306397275610844,0.24510031758450435
lab_heldout_richard_myers__haib,kmer_logreg,False,0.7177616280324587,0.7656349117734528,0.7292585447409297,0.769557718056193,0.11372274175877185,0.1488361406897141,0.21268306571561113,0.23576702609862418
lab_heldout_richard_myers__haib,kmer_logreg,True,0.7108063624253463,0.7668746223122874,0.7328214135658269,0.7739942274039672,0.0491877120601598,0.07247691179934876,0.19667204552977793,0.21169099921025916
lab_heldout_richard_myers__haib,kmer_metadata_logreg,False,0.7085941228679307,0.7692220150645781,0.7270481025500473,0.7778772983635577,0.11528784465810935,0.15331972584239437,0.2099622935381304,0.23965835734411897
lab_heldout_richard_myers__haib,kmer_metadata_logreg,True,0.7118143546726199,0.7695252521079415,0.7296105931800045,0.7798502757977072,0.049383339316280396,0.07695696530629384,0.19369699123246947,0.21281085577747888
family_heldout_zinc_finger,gc_artifact_logreg,False,0.6944012233607711,0.7390615036764558,0.7198165634840424,0.7642132926894569,0.04430257203606867,0.065681859320212,0.20144896304859455,0.21416477838740428
family_heldout_zinc_finger,gc_artifact_logreg,True,0.7053824856882124,0.7478889578394976,0.724518133302801,0.7717490591915004,0.046801853195188856,0.07434911268682434,0.19783102344612163,0.21423916713752486
family_heldout_zinc_finger,kmer_logreg,False,0.6933931901033793,0.7613057567482792,0.6966151859365691,0.7635893008250092,0.12857821272911513,0.17944369321105763,0.21371981574913937,0.25736541111850175
family_heldout_zinc_finger,kmer_logreg,True,0.6997956170732131,0.7651590577349491,0.6994309999421446,0.7633321836207091,0.038167238304828134,0.08761403848950522,0.19872660900660527,0.22495230977181127
family_heldout_zinc_finger,kmer_metadata_logreg,False,0.7025623166523091,0.7569999165132284,0.7046466788857679,0.760537547475304,0.13581518250667152,0.17859659944667036,0.2214799626512891,0.2536570303381595
family_heldout_zinc_finger,kmer_metadata_logreg,True,0.7126388085331026,0.7569353899265747,0.7162890162662392,0.7592689343028519,0.04144462079833547,0.08325467901593399,0.2001133556889519,0.21820384650914942
